# Fitted Temperatures:
# Downstream (K): 2388.7	1.3
# Upstream (K): 2374.9	1.4
# 
# Datacolumns:
# wavelength(nm)	US_data	US_fit
6.230845215117159341e+02 6.772533172993588551e+02 6.586839908083969704e+02
6.233476076239874146e+02 6.595211696664280225e+02 6.599982113357579010e+02
6.236106916212746683e+02 6.603771784996496308e+02 6.613133431745059170e+02
6.238737735023066762e+02 6.586906362468054112e+02 6.626293837697592153e+02
6.241368532658124195e+02 6.611030661423217225e+02 6.639463305646899016e+02
6.243999309105214479e+02 6.648979561566709435e+02 6.652641810005518437e+02
6.246630064351627425e+02 6.527474037618156899e+02 6.665829325166864692e+02
6.249260798384657392e+02 6.724037266494962068e+02 6.679025825505552802e+02
6.251891511191601012e+02 6.620463327540331875e+02 6.692231285377426957e+02
6.254522202759745824e+02 6.694969189857228002e+02 6.705445679119787883e+02
6.257152873076388460e+02 6.661265486245652028e+02 6.718668981051603168e+02
6.259783522128824416e+02 6.600569975920086563e+02 6.731901165473645960e+02
6.262414149904345777e+02 6.714278210943818976e+02 6.745142206668681411e+02
6.265044756390248040e+02 6.668158391714550817e+02 6.758392078901621289e+02
6.267675341573828973e+02 6.790222298222658992e+02 6.771650756419722939e+02
6.270305905442380663e+02 6.734787903629131733e+02 6.784918213452727969e+02
6.272936447983202015e+02 6.781163888599535312e+02 6.798194424213097591e+02
6.275566969183586252e+02 6.812561918947251343e+02 6.811479362896103567e+02
6.278197469030830007e+02 6.892286581552264124e+02 6.824773003680056718e+02
6.280827947512232186e+02 6.769361108714405191e+02 6.838075320726470636e+02
6.283458404615089421e+02 6.909307695318525475e+02 6.851386288180232214e+02
6.286088840326699483e+02 6.804610256789597997e+02 6.864705880169749435e+02
6.288719254634360141e+02 6.940010981850974758e+02 6.878034070807143507e+02
6.291349647525368027e+02 6.783056364411404502e+02 6.891370834188436447e+02
6.293980018987022049e+02 6.891296450179064550e+02 6.904716144393676132e+02
6.296610369006622250e+02 6.791551920908525517e+02 6.918069975487160264e+02
6.299240697571466399e+02 7.001508430663373019e+02 6.931432301517552332e+02
6.301871004668857950e+02 6.825332304211493692e+02 6.944803096518113534e+02
6.304501290286091262e+02 6.913249610705751138e+02 6.958182334506805091e+02
6.307131554410467515e+02 6.940316654485424124e+02 6.971569989486509940e+02
6.309761797029290165e+02 6.871184875153840039e+02 6.984966035445165744e+02
6.312392018129856979e+02 6.840003917936535345e+02 6.998370446355972945e+02
6.315022217699471412e+02 7.043021564346013292e+02 7.011783196177532318e+02
6.317652395725432370e+02 6.983993928690515531e+02 7.025204258854024602e+02
6.320282552195043309e+02 7.020958452176614628e+02 7.038633608315348056e+02
6.322912687095607680e+02 7.134990399983414591e+02 7.052071218477362891e+02
6.325542800414424391e+02 7.092767811507685565e+02 7.065517063241978803e+02
6.328172892138800307e+02 7.094658867929364305e+02 7.078971116497366438e+02
6.330802962256034334e+02 7.066115748034243325e+02 7.092433352118079029e+02
6.333433010753434473e+02 7.124725196295389651e+02 7.105903743965336616e+02
6.336063037618301905e+02 7.077822393400271039e+02 7.119382265886997629e+02
6.338693042837937810e+02 6.982368312042000298e+02 7.132868891717906763e+02
6.341323026399653600e+02 7.053382379913624618e+02 7.146363595279985930e+02
6.343952988290748181e+02 7.044333915248001858e+02 7.159866350382369546e+02
6.346582928498530691e+02 7.207729341436848927e+02 7.173377130821633045e+02
6.349212847010304586e+02 7.081457007604103637e+02 7.186895910381923613e+02
6.351842743813375591e+02 7.137225839626037214e+02 7.200422662835128449e+02
6.354472618895050573e+02 7.070302291689437197e+02 7.213957361941020281e+02
6.357102472242634121e+02 7.269852239305553212e+02 7.227499981447465416e+02
6.359732303843433101e+02 7.155433025820979083e+02 7.241050495090570394e+02
6.362362113684757787e+02 7.110024876593938643e+02 7.254608876594828644e+02
6.364991901753916181e+02 7.191296473512608145e+02 7.268175099673281920e+02
6.367621668038211737e+02 7.278452176287030397e+02 7.281749138027731760e+02
6.370251412524954731e+02 7.227402226794447415e+02 7.295330965348815653e+02
6.372881135201453162e+02 7.196380008068309735e+02 7.308920555316283298e+02
6.375510836055018444e+02 7.166889292380880079e+02 7.322517881599037537e+02
6.378140515072954031e+02 7.183233571716842789e+02 7.336122917855376500e+02
6.380770172242577019e+02 7.243207325094440421e+02 7.349735637733170961e+02
6.383399807551191998e+02 7.312217664629922638e+02 7.363356014869939372e+02
6.386029420986111518e+02 7.253117657459641805e+02 7.376984022893060455e+02
6.388659012534644717e+02 7.323313956239451272e+02 7.390619635419966471e+02
6.391288582184101870e+02 7.386061705184828270e+02 7.404262826058231894e+02
6.393918129921796663e+02 7.449329700814927264e+02 7.417913568405798515e+02
6.396547655735037097e+02 7.513932181785834246e+02 7.431571836051082300e+02
6.399177159611137995e+02 7.377401317764825990e+02 7.445237602573179174e+02
6.401806641537413043e+02 7.548701339972437836e+02 7.458910841542025310e+02
6.404436101501171379e+02 7.424190343590968268e+02 7.472591526518467617e+02
6.407065539489725552e+02 7.347114862088899372e+02 7.486279631054522952e+02
6.409694955490394932e+02 7.441808317477509718e+02 7.499975128693556599e+02
6.412324349490485247e+02 7.522897331737175364e+02 7.513677992970261812e+02
6.414953721477315867e+02 7.564262200619095893e+02 7.527388197411072497e+02
6.417583071438199340e+02 7.430927743460410966e+02 7.541105715534106366e+02
6.420212399360448217e+02 7.440543656470402993e+02 7.554830520849426421e+02
6.422841705231380729e+02 7.443238915109772051e+02 7.568562586859213752e+02
6.425470989038310563e+02 7.476760949763751114e+02 7.582301887057836893e+02
6.428100250768553678e+02 7.530112849007215345e+02 7.596048394932072370e+02
6.430729490409426035e+02 7.581608912355729899e+02 7.609802083961287735e+02
6.433358707948244728e+02 7.650899297302599962e+02 7.623562927617492733e+02
6.435987903372325718e+02 7.550524397783549375e+02 7.637330899365597361e+02
6.438617076668986101e+02 7.678685738764760345e+02 7.651105972663526700e+02
6.441246227825546384e+02 7.629527658821664318e+02 7.664888120962375524e+02
6.443875356829316843e+02 7.672684939866256855e+02 7.678677317706556096e+02
6.446504463667622531e+02 7.573724992924848038e+02 7.692473536333965285e+02
6.449133548327780545e+02 7.699485993626187792e+02 7.706276750276149414e+02
6.451762610797106845e+02 7.652193380713188162e+02 7.720086932958391799e+02
6.454391651062921937e+02 7.759359155629571205e+02 7.733904057799975362e+02
6.457020669112549740e+02 7.832474108356251463e+02 7.747728098214278134e+02
6.459649664933303939e+02 7.661233254960402519e+02 7.761559027608866472e+02
6.462278638512507314e+02 7.862983983336623623e+02 7.775396819385737217e+02
6.464907589837478099e+02 7.767970147295684455e+02 7.789241446941447293e+02
6.467536518895541349e+02 7.750662640011142912e+02 7.803092883667286515e+02
6.470165425674016433e+02 7.826605775608620661e+02 7.816951102949292363e+02
6.472794310160223858e+02 7.747128852266517924e+02 7.830816078168618333e+02
6.475423172341486406e+02 8.001078174602063200e+02 7.844687782701527112e+02
6.478052012205126857e+02 7.921661470407401566e+02 7.858566189919575891e+02
6.480680829738466855e+02 7.794945511720629838e+02 7.872451273189799394e+02
6.483309624928829180e+02 7.822846593570482128e+02 7.886343005874822438e+02
6.485938397763541161e+02 7.898313717726356344e+02 7.900241361333070245e+02
6.488567148229919894e+02 7.888026973130473607e+02 7.914146312918772992e+02
6.491195876315293845e+02 8.056171396962782865e+02 7.928057833982323928e+02
6.493824582006986930e+02 7.847317909540859091e+02 7.941975897870248673e+02
6.496453265292324204e+02 7.889254626852809906e+02 7.955900477925459882e+02
6.499081926158628448e+02 7.990383971350241836e+02 7.969831547487340231e+02
6.501710564593226991e+02 8.093241965420025963e+02 7.983769079891939100e+02
6.504339180583446023e+02 8.056145210367760683e+02 7.997713048472091941e+02
6.506967774116610599e+02 8.075670052766157596e+02 8.011663426557563525e+02
6.509596345180046910e+02 8.236867626196041101e+02 8.025620187475200282e+02
6.512224893761085696e+02 8.043637827120603561e+02 8.039583304549123568e+02
6.514853419847048599e+02 8.085722028658697127e+02 8.053552751100780824e+02
6.517481923425265222e+02 8.065813841052065527e+02 8.067528500449170679e+02
6.520110404483065167e+02 8.119214293683065762e+02 8.081510525910953220e+02
6.522738863007776899e+02 8.164131172956698492e+02 8.095498800800626213e+02
6.525367298986725473e+02 8.155526857111462959e+02 8.109493298430604682e+02
6.527995712407241626e+02 8.118436347129921842e+02 8.123493992111422131e+02
6.530624103256657236e+02 8.227117155432712252e+02 8.137500855151896531e+02
6.533252471522301903e+02 8.188602351080708104e+02 8.151513860859184888e+02
6.535880817191499546e+02 8.246876771442427980e+02 8.165532982538998112e+02
6.538509140251587723e+02 8.196583886384341895e+02 8.179558193495747673e+02
6.541137440689894902e+02 8.377539030908402538e+02 8.193589467032627454e+02
6.543765718493751820e+02 8.259343930601687589e+02 8.207626776451809292e+02
6.546393973650489215e+02 8.138265275308584705e+02 8.221670095054588501e+02
6.549022206147441238e+02 8.153195463261833993e+02 8.235719396141463449e+02
6.551650415971938628e+02 8.343204847142578728e+02 8.249774653012381123e+02
6.554278603111313259e+02 8.216342662100994403e+02 8.263835838966750771e+02
6.556906767552897008e+02 8.253212092636291572e+02 8.277902927303691740e+02
6.559534909284028572e+02 8.358445810411728871e+02 8.291975891322134657e+02
6.562163028292037552e+02 8.396345890077224112e+02 8.306054704320977180e+02
6.564791124564256961e+02 8.368785868177822067e+02 8.320139339599126060e+02
6.567419198088024359e+02 8.474098461281447499e+02 8.334229770455830248e+02
6.570047248850672759e+02 8.373854079529025967e+02 8.348325970190609269e+02
6.572675276839538583e+02 8.219544324167490004e+02 8.362427912103552217e+02
6.575303282041953707e+02 8.278624013416504113e+02 8.376535569495363234e+02
6.577931264445260240e+02 8.373412859968103703e+02 8.390648915667567280e+02
6.580559224036787782e+02 8.375697148724794943e+02 8.404767923922539694e+02
6.583187160803877305e+02 8.387196618583375312e+02 8.418892567563798366e+02
6.585815074733864094e+02 8.507397669559754831e+02 8.433022819896010560e+02
6.588442965814086847e+02 8.474990212184080747e+02 8.447158654225191867e+02
6.591070834031879713e+02 8.392752292780331800e+02 8.461300043858798290e+02
6.593698679374584799e+02 8.442165550653231776e+02 8.475446962105954753e+02
6.596326501829539666e+02 8.493329991743895562e+02 8.489599382277449422e+02
6.598954301384080736e+02 8.584279171927804555e+02 8.503757277686013367e+02
6.601582078025550118e+02 8.523236532368537155e+02 8.517920621646375139e+02
6.604209831741285370e+02 8.496015648739183916e+02 8.532089387475372178e+02
6.606837562518627465e+02 8.718896323862994677e+02 8.546263548492170230e+02
6.609465270344912824e+02 8.665499162107201983e+02 8.560443078018303140e+02
6.612092955207486966e+02 8.627926099610745041e+02 8.574627949377926370e+02
6.614720617093689725e+02 8.777057516176880654e+02 8.588818135897809043e+02
6.617348255990863208e+02 8.527012120850620249e+02 8.603013610907574957e+02
6.619975871886344976e+02 8.631246247220051373e+02 8.617214347739783307e+02
6.622603464767481682e+02 8.641257392143594416e+02 8.631420319730066240e+02
6.625231034621613162e+02 8.553723329116486411e+02 8.645631500217295979e+02
6.627858581436083796e+02 8.632168674267542201e+02 8.659847862543676911e+02
6.630486105198234554e+02 8.728548766842802706e+02 8.674069380054885414e+02
6.633113605895412093e+02 8.746475987007244157e+02 8.688296026100202880e+02
6.635741083514957381e+02 8.651444585156070843e+02 8.702527774032657817e+02
6.638368538044214802e+02 8.727093307932840389e+02 8.716764597209142948e+02
6.640995969470533282e+02 8.679060489769555033e+02 8.731006468990593703e+02
6.643623377781249246e+02 8.798445995048848545e+02 8.745253362741956380e+02
6.646250762963718444e+02 8.541039166957760926e+02 8.759505251832609929e+02
6.648878125005280708e+02 8.645214112411068754e+02 8.773762109636168134e+02
6.651505463893281558e+02 8.765840261029927660e+02 8.788023909530821811e+02
6.654132779615071058e+02 8.839905329148169812e+02 8.802290624899430895e+02
6.656760072157993591e+02 8.721888971970741977e+02 8.816562229129613115e+02
6.659387341509394673e+02 8.834271217963838581e+02 8.830838695613821301e+02
6.662014587656626645e+02 8.909557848933209243e+02 8.845119997749648064e+02
6.664641810587033888e+02 8.818230648748062777e+02 8.859406108939763271e+02
6.667269010287965330e+02 8.804452803068971889e+02 8.873697002592147101e+02
6.669896186746771036e+02 8.902873975759395080e+02 8.887992652120215098e+02
6.672523339950799937e+02 8.925419385601705926e+02 8.902293030942832956e+02
6.675150469887399822e+02 8.828959900201590472e+02 8.916598112484605281e+02
6.677777576543921896e+02 8.868564030946312187e+02 8.930907870175913104e+02
6.680404659907715086e+02 8.894286351006826408e+02 8.945222277453030983e+02
6.683031719966131732e+02 9.018727071557817681e+02 8.959541307758256607e+02
6.685658756706521899e+02 8.955246191691558124e+02 8.973864934540057448e+02
6.688285770116236790e+02 8.898397004235548593e+02 8.988193131253217416e+02
6.690912760182631018e+02 9.024421962382390348e+02 9.002525871358924405e+02
6.693539726893050101e+02 9.032656467419485580e+02 9.016863128324796435e+02
6.696166670234854337e+02 9.017342098724042216e+02 9.031204875625281829e+02
6.698793590195390379e+02 9.038872109531424712e+02 9.045551086741439804e+02
6.701420486762015116e+02 9.049537310653239501e+02 9.059901735161334955e+02
6.704047359922079750e+02 9.064118475664810148e+02 9.074256794379995199e+02
6.706674209662938893e+02 9.064457474770074441e+02 9.088616237899622092e+02
6.709301035971948295e+02 9.158742856044891596e+02 9.102980039229671547e+02
6.711927838836460296e+02 9.085523141066760218e+02 9.117348171886998216e+02
6.714554618243834057e+02 9.190943495178834155e+02 9.131720609395968040e+02
6.717181374181420779e+02 9.025489722812442324e+02 9.146097325288523052e+02
6.719808106636578486e+02 9.205608727878621949e+02 9.160478293104397380e+02
6.722434815596664066e+02 9.174821221411586976e+02 9.174863486391199103e+02
6.725061501049033268e+02 9.271155677887584261e+02 9.189252878704480736e+02
6.727688162981040705e+02 9.179369282940045878e+02 9.203646443607918854e+02
6.730314801380047811e+02 9.230020088033501224e+02 9.218044154673418689e+02
6.732941416233409200e+02 9.189977298157148198e+02 9.232445985481240314e+02
6.735568007528486305e+02 9.211583250207008859e+02 9.246851909620085053e+02
6.738194575252633740e+02 9.365684204857474242e+02 9.261261900687201205e+02
6.740821119393212939e+02 9.363661951774389536e+02 9.275675932288578451e+02
6.743447639937585336e+02 9.331099548879399208e+02 9.290093978039039939e+02
6.746074136873104408e+02 9.170258496755310489e+02 9.304516011562225231e+02
6.748700610187136135e+02 9.360587851714652743e+02 9.318942006490946142e+02
6.751327059867037406e+02 9.447590235492734791e+02 9.333371936467086698e+02
6.753953485900171927e+02 9.423001231637226738e+02 9.347805775141870299e+02
6.756579888273896586e+02 9.331921280973717785e+02 9.362243496175834707e+02
6.759206266975578501e+02 9.477551565945177572e+02 9.376685073239101484e+02
6.761832621992573422e+02 9.513780102194812116e+02 9.391130480011353256e+02
6.764458953312250742e+02 9.319878212906938870e+02 9.405579690182051991e+02
6.767085260921968484e+02 9.378221688629175787e+02 9.420032677450473102e+02
6.769711544809089219e+02 9.445506600521156315e+02 9.434489415525875984e+02
6.772337804960977792e+02 9.453415936155329291e+02 9.448949878127563125e+02
6.774964041365000185e+02 9.451631780953898669e+02 9.463414038985063144e+02
6.777590254008520105e+02 9.450805652664862464e+02 9.477881871838181951e+02
6.780216442878898988e+02 9.614137662850132529e+02 9.492353350437161907e+02
6.782842607963503951e+02 9.575340141180814726e+02 9.506828448542709111e+02
6.785468749249700977e+02 9.557091918724701145e+02 9.521307139926250329e+02
6.788094866724854910e+02 9.726461414489634763e+02 9.535789398369907985e+02
6.790720960376330595e+02 9.659460100179428537e+02 9.550275197666627491e+02
6.793347030191499698e+02 9.644233612913105844e+02 9.564764511620418261e+02
6.795973076157724790e+02 9.619587403289618806e+02 9.579257314046286638e+02
6.798599098262374127e+02 9.584598719561125790e+02 9.593753578770439390e+02
6.801225096492815965e+02 9.706808676641281863e+02 9.608253279630428096e+02
6.803851070836418558e+02 9.605690215008754649e+02 9.622756390475155968e+02
6.806477021280549025e+02 9.577176174526312025e+02 9.637262885165066564e+02
6.809102947812579032e+02 9.644426859929390048e+02 9.651772737572212009e+02
6.811728850419873424e+02 9.811664882894658604e+02 9.666285921580379181e+02
6.814354729089807279e+02 9.697293487263325460e+02 9.680802411085236372e+02
6.816980583809747714e+02 9.710404305620173773e+02 9.695322179994337830e+02
6.819606414567066395e+02 9.726574435053024672e+02 9.709845202227326126e+02
6.822232221349133852e+02 9.857125902733234852e+02 9.724371451715999228e+02
6.824858004143321750e+02 9.867816086703750216e+02 9.738900902404403723e+02
6.827483762936998346e+02 9.739180418651104674e+02 9.753433528248970106e+02
6.830109497717538716e+02 9.805733388693101915e+02 9.767969303218615096e+02
6.832735208472314525e+02 9.815177747036659639e+02 9.782508201294840546e+02
6.835360895188703125e+02 9.812732743954984471e+02 9.797050196471847130e+02
6.837986557854070497e+02 9.967717981515833117e+02 9.811595262756571856e+02
6.840612196455792855e+02 9.904842697924469803e+02 9.826143374168917717e+02
6.843237810981247549e+02 9.779008821202791069e+02 9.840694504741775290e+02
6.845863401417805107e+02 9.801630223432564435e+02 9.855248628521112551e+02
6.848488967752841745e+02 9.899948794814189341e+02 9.869805719566113567e+02
6.851114509973731401e+02 9.914409543130879001e+02 9.884365751949295600e+02
6.853740028067851426e+02 9.949978837750603589e+02 9.898928699756580727e+02
6.856365522022576897e+02 9.913987483238162213e+02 9.913494537087409526e+02
6.858990991825285164e+02 9.930980180029687290e+02 9.928063238054853628e+02
6.861616437463351303e+02 9.988705269860279259e+02 9.942634776785656641e+02
6.864241858924154940e+02 1.002490078825535761e+03 9.957209127420427421e+02
6.866867256195070013e+02 9.870402797601730072e+02 9.971786264113698053e+02
6.869492629263478420e+02 9.984821551905243950e+02 9.986366161034006836e+02
6.872117978116756376e+02 9.884707842892803455e+02 1.000094879236403472e+03
6.874743302742283504e+02 9.937816510937702787e+02 1.001553413230067463e+03
6.877368603127437154e+02 1.006548846108213070e+03 1.003012215505513609e+03
6.879993879259599225e+02 1.001889780271820996e+03 1.004471283485306458e+03
6.882619131126148204e+02 1.005695753819267566e+03 1.005930614593463588e+03
6.885244358714465989e+02 1.014482982514007404e+03 1.007390206255461067e+03
6.887869562011932203e+02 1.011470103562727445e+03 1.008850055898249479e+03
6.890494741005926471e+02 1.010022989352350578e+03 1.010310160950261547e+03
6.893119895683831828e+02 1.024781702329132713e+03 1.011770518841420653e+03
6.895745026033031309e+02 1.012259758825786889e+03 1.013231127003153233e+03
6.898370132040906810e+02 1.030357909825962679e+03 1.014691982868391960e+03
6.900995213694839094e+02 1.001952720450845277e+03 1.016153083871592230e+03
6.903620270982215743e+02 1.034360804943987432e+03 1.017614427448743527e+03
6.906245303890412970e+02 1.027386515214577912e+03 1.019076011037367380e+03
6.908870312406821768e+02 1.002073864925816224e+03 1.020537832076544078e+03
6.911495296518824034e+02 1.016242562009976041e+03 1.021999888006903461e+03
6.914120256213803941e+02 1.031099804057432038e+03 1.023462176270652776e+03
6.916745191479147934e+02 1.020507229140285062e+03 1.024924694311565190e+03
6.919370102302237910e+02 1.014581219768210076e+03 1.026387439575014241e+03
6.921994988670463727e+02 1.024516687100221361e+03 1.027850409507960194e+03
6.924619850571210691e+02 1.034164226639897379e+03 1.029313601558976643e+03
6.927244687991865248e+02 1.031241480451385314e+03 1.030777013178246079e+03
6.929869500919814982e+02 1.035589233563893004e+03 1.032240641817581036e+03
6.932494289342446336e+02 1.020881745455467239e+03 1.033704484930423860e+03
6.935119053247150305e+02 1.034758642769555991e+03 1.035168539971861492e+03
6.937743792621313332e+02 1.035015421879034875e+03 1.036632804398635244e+03
6.940368507452321865e+02 1.033759290179040136e+03 1.038097275669142846e+03
6.942993197727566894e+02 1.029971305115645691e+03 1.039561951243457770e+03
6.945617863434439414e+02 1.041312622839075630e+03 1.041026828583332417e+03
6.948242504560328143e+02 1.031632820770498938e+03 1.042491905152202889e+03
6.950867121092622938e+02 1.048486460247666628e+03 1.043957178415211729e+03
6.953491713018717064e+02 1.046244817898126939e+03 1.045422645839200186e+03
6.956116280325999242e+02 1.049930174737733296e+03 1.046888304892729138e+03
6.958740823001861600e+02 1.040457485765978618e+03 1.048354153046084775e+03
6.961365341033697405e+02 1.042986831219586065e+03 1.049820187771286783e+03
6.963989834408896513e+02 1.048390417607165546e+03 1.051286406542092209e+03
6.966614303114852191e+02 1.061477779979511070e+03 1.052752806834016610e+03
6.969238747138962253e+02 1.045596003116414977e+03 1.054219386124332914e+03
6.971863166468615418e+02 1.048033632738503002e+03 1.055686141892082105e+03
6.974487561091207226e+02 1.063410487353661210e+03 1.057153071618079366e+03
6.977111930994133218e+02 1.060035013329904359e+03 1.058620172784937722e+03
6.979736276164783249e+02 1.057590242146761966e+03 1.060087442877048488e+03
6.982360596590560817e+02 1.057306947886982698e+03 1.061554879380622197e+03
6.984984892258858054e+02 1.056028837416990882e+03 1.063022479783675863e+03
6.987609163157065950e+02 1.066908083620355001e+03 1.064490241576039580e+03
6.990233409272589142e+02 1.064276298439631091e+03 1.065958162249386078e+03
6.992857630592819760e+02 1.059774766083610757e+03 1.067426239297217535e+03
6.995481827105156754e+02 1.048636976324273292e+03 1.068894470214883313e+03
6.998105998796995664e+02 1.066334187883112008e+03 1.070362852499590190e+03
7.000730145655738852e+02 1.073246926492401371e+03 1.071831383650407361e+03
