# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-1.082415994543798e-06), np.float64(0.17719322045398636), np.float64(610.0072640802747)]
# RMS residual: 0.02939 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.465    614.3063  Ne I   -0.0353
  35.536    616.3594  Ne I   +0.0567
  66.025    621.7281  Ne I   +0.0264
  94.055    626.6495  Ne I   -0.0141
 132.356    633.4428  Ne I   +0.0019
 159.964    638.2991  Ne I   -0.0251
 170.818    640.2246  Ne I   -0.0189
 229.702    650.6528  Ne I   +0.0010
 244.586    653.2882  Ne I   +0.0067
 282.187    659.8953  Ne I   -0.0273
 326.973    667.8276  Ne I   -0.0013
 348.877    671.7043  Ne I   +0.0101
 469.381    692.9467  Ne I   +0.0068
 527.793    703.2413  Ne I   +0.0142
 648.874    724.5167  Ne I   -0.0110
 759.217    743.8898  Ne I   -0.0216
 796.199    750.3869  Ar I   -0.0153
 813.803    753.5774  Ne I   +0.0866
 870.953    763.5106  Ar I   -0.0026
 921.997    772.4207  Ar I   -0.0381
#
# pixel  wavelength_nm  counts
  200   645.4026  8609.0
  201   645.5794  8541.0
  202   645.7561  8512.0
  203   645.9329  8541.0
  204   646.1096  8718.0
  205   646.2864  8669.0
  206   646.4631  8718.0
  207   646.6399  8639.0
  208   646.8166  8488.0
  209   646.9934  8650.0
  210   647.1701  8535.0
  211   647.3468  8657.0
  212   647.5236  8738.0
  213   647.7003  8715.0
  214   647.8770  8653.0
  215   648.0538  8751.0
  216   648.2305  8512.0
  217   648.4072  8586.0
  218   648.5839  8673.0
  219   648.7607  8758.0
  220   648.9374  8724.0
  221   649.1141  8715.0
  222   649.2908  8711.0
  223   649.4675  8703.0
  224   649.6442  8795.0
  225   649.8209  9094.0
  226   649.9976  9356.0
  227   650.1743  9982.0
  228   650.3511  10689.0
  229   650.5277  11413.0
  230   650.7044  11566.0
  231   650.8811  11058.0
  232   651.0578  10240.0
  233   651.2345  9504.0
  234   651.4112  9008.0
  235   651.5879  8827.0
  236   651.7646  8876.0
  237   651.9413  8743.0
  238   652.1179  8649.0
  239   652.2946  8661.0
  240   652.4713  8562.0
  241   652.6480  8833.0
  242   652.8246  9093.0
  243   653.0013  9402.0
  244   653.1780  9800.0
  245   653.3546  9734.0
  246   653.5313  9473.0
  247   653.7080  9172.0
  248   653.8846  8871.0
  249   654.0613  8750.0
  250   654.2379  8706.0
  251   654.4146  8751.0
  252   654.5912  8767.0
  253   654.7679  8712.0
  254   654.9445  8572.0
  255   655.1212  8589.0
  256   655.2978  8485.0
  257   655.4744  8702.0
  258   655.6511  8920.0
  259   655.8277  8880.0
  260   656.0043  8571.0
  261   656.1810  8559.0
  262   656.3576  8636.0
  263   656.5342  8602.0
  264   656.7108  8549.0
  265   656.8875  8696.0
  266   657.0641  8605.0
  267   657.2407  8638.0
  268   657.4173  8644.0
  269   657.5939  8789.0
  270   657.7705  8677.0
  271   657.9471  8677.0
  272   658.1237  8615.0
  273   658.3003  8595.0
  274   658.4769  8704.0
  275   658.6535  8680.0
  276   658.8301  8760.0
  277   659.0067  8754.0
  278   659.1833  8811.0
  279   659.3599  9076.0
  280   659.5365  9366.0
  281   659.7131  9843.0
  282   659.8897  9997.0
  283   660.0663  9966.0
  284   660.2428  9518.0
  285   660.4194  9166.0
  286   660.5960  9003.0
  287   660.7726  8796.0
  288   660.9491  8639.0
  289   661.1257  8658.0
  290   661.3023  8864.0
  291   661.4788  8772.0
  292   661.6554  8604.0
  293   661.8320  8508.0
  294   662.0085  8574.0
  295   662.1851  8573.0
  296   662.3616  8494.0
  297   662.5382  8654.0
  298   662.7147  8692.0
  299   662.8913  8743.0
  300   663.0678  8813.0
  301   663.2444  8783.0
  302   663.4209  8765.0
  303   663.5974  8722.0
  304   663.7740  8581.0
  305   663.9505  8673.0
  306   664.1270  8669.0
  307   664.3036  8796.0
  308   664.4801  8722.0
  309   664.6566  8795.0
  310   664.8331  8722.0
  311   665.0097  8597.0
  312   665.1862  8683.0
  313   665.3627  8663.0
  314   665.5392  8732.0
  315   665.7157  8895.0
  316   665.8922  8751.0
  317   666.0687  8718.0
  318   666.2452  8736.0
  319   666.4218  8810.0
  320   666.5983  8817.0
  321   666.7748  8887.0
  322   666.9513  9202.0
  323   667.1277  9481.0
  324   667.3042  9804.0
  325   667.4807  10504.0
  326   667.6572  11259.0
  327   667.8337  11549.0
  328   668.0102  11225.0
  329   668.1867  10459.0
  330   668.3632  9823.0
  331   668.5396  9311.0
  332   668.7161  9366.0
  333   668.8926  9212.0
  334   669.0690  8905.0
  335   669.2455  8925.0
  336   669.4220  8892.0
  337   669.5985  8919.0
  338   669.7749  8834.0
  339   669.9514  8861.0
  340   670.1278  9020.0
  341   670.3043  9062.0
  342   670.4807  9020.0
  343   670.6572  9066.0
  344   670.8336  9007.0
  345   671.0101  9255.0
  346   671.1865  9724.0
  347   671.3630  10309.0
  348   671.5394  10770.0
  349   671.7159  10991.0
  350   671.8923  10684.0
  351   672.0687  10152.0
  352   672.2452  9543.0
  353   672.4216  9273.0
  354   672.5980  9064.0
  355   672.7744  9103.0
  356   672.9509  8879.0
  357   673.1273  8877.0
  358   673.3037  8772.0
  359   673.4801  8847.0
  360   673.6565  8918.0
  361   673.8330  8747.0
  362   674.0094  8761.0
  363   674.1858  8778.0
  364   674.3622  8914.0
  365   674.5386  8855.0
  366   674.7150  8839.0
  367   674.8914  8744.0
  368   675.0678  8828.0
  369   675.2442  8863.0
  370   675.4206  8924.0
  371   675.5970  8727.0
  372   675.7734  8853.0
  373   675.9497  8812.0
  374   676.1261  8729.0
  375   676.3025  8906.0
  376   676.4789  8814.0
  377   676.6553  8773.0
  378   676.8316  8945.0
  379   677.0080  8865.0
  380   677.1844  8899.0
  381   677.3608  8811.0
  382   677.5371  8778.0
  383   677.7135  8693.0
  384   677.8899  8627.0
  385   678.0662  8840.0
  386   678.2426  9029.0
  387   678.4189  8982.0
  388   678.5953  8746.0
  389   678.7716  8661.0
  390   678.9480  8677.0
  391   679.1243  8868.0
  392   679.3007  8814.0
  393   679.4770  8696.0
  394   679.6534  8793.0
  395   679.8297  8761.0
  396   680.0060  8870.0
  397   680.1824  8769.0
  398   680.3587  8812.0
  399   680.5350  8759.0
  400   680.7114  8686.0
  401   680.8877  8684.0
  402   681.0640  8704.0
  403   681.2403  8758.0
  404   681.4167  8817.0
  405   681.5930  8893.0
  406   681.7693  8629.0
  407   681.9456  8717.0
  408   682.1219  8567.0
  409   682.2982  8746.0
  410   682.4745  8690.0
  411   682.6508  8744.0
  412   682.8271  8565.0
  413   683.0034  8564.0
  414   683.1797  8560.0
  415   683.3560  8603.0
  416   683.5323  8609.0
  417   683.7086  8652.0
  418   683.8849  8565.0
  419   684.0612  8599.0
  420   684.2375  8435.0
  421   684.4138  8429.0
  422   684.5900  8330.0
  423   684.7663  8362.0
  424   684.9426  8319.0
  425   685.1189  8270.0
  426   685.2951  8343.0
  427   685.4714  8288.0
  428   685.6477  8486.0
  429   685.8239  8442.0
  430   686.0002  8390.0
  431   686.1765  8403.0
  432   686.3527  8301.0
  433   686.5290  8181.0
  434   686.7052  8218.0
  435   686.8815  8270.0
  436   687.0577  8404.0
  437   687.2340  8368.0
  438   687.4102  8168.0
  439   687.5865  8156.0
  440   687.7627  8254.0
  441   687.9390  8201.0
  442   688.1152  8327.0
  443   688.2914  8371.0
  444   688.4677  8225.0
  445   688.6439  8137.0
  446   688.8201  8180.0
  447   688.9964  8255.0
  448   689.1726  8125.0
  449   689.3488  8174.0
  450   689.5250  8378.0
  451   689.7012  8464.0
  452   689.8775  8123.0
  453   690.0537  8153.0
  454   690.2299  8096.0
  455   690.4061  8154.0
  456   690.5823  8013.0
  457   690.7585  8034.0
  458   690.9347  8179.0
  459   691.1109  8196.0
  460   691.2871  8298.0
  461   691.4633  8068.0
  462   691.6395  8223.0
  463   691.8157  8248.0
  464   691.9919  8159.0
  465   692.1681  8300.0
  466   692.3443  8510.0
  467   692.5204  9175.0
  468   692.6966  9894.0
  469   692.8728  10199.0
  470   693.0490  10123.0
  471   693.2251  9608.0
  472   693.4013  9069.0
  473   693.5775  8683.0
  474   693.7537  8530.0
  475   693.9298  8330.0
  476   694.1060  8104.0
  477   694.2821  8145.0
  478   694.4583  8055.0
  479   694.6345  8086.0
  480   694.8106  8086.0
  481   694.9868  8065.0
  482   695.1629  8160.0
  483   695.3391  8209.0
  484   695.5152  8066.0
  485   695.6914  8001.0
  486   695.8675  8015.0
  487   696.0436  8003.0
  488   696.2198  8094.0
  489   696.3959  8141.0
  490   696.5721  8068.0
  491   696.7482  8065.0
  492   696.9243  8259.0
  493   697.1004  8165.0
  494   697.2766  8042.0
  495   697.4527  8020.0
  496   697.6288  7984.0
  497   697.8049  8007.0
  498   697.9810  7888.0
  499   698.1572  8074.0
  500   698.3333  8165.0
  501   698.5094  8158.0
  502   698.6855  8030.0
  503   698.8616  8099.0
  504   699.0377  8104.0
  505   699.2138  7976.0
  506   699.3899  8038.0
  507   699.5660  8111.0
  508   699.7421  8061.0
  509   699.9182  7867.0
  510   700.0943  7961.0
  511   700.2704  7833.0
  512   700.4464  7879.0
  513   700.6225  7960.0
  514   700.7986  8082.0
  515   700.9747  8058.0
  516   701.1508  7865.0
  517   701.3268  7916.0
  518   701.5029  7986.0
  519   701.6790  7841.0
  520   701.8551  8002.0
  521   702.0311  7990.0
  522   702.2072  8191.0
