# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-6.295521306749217e-09), np.float64(7.656898793276602e-06), np.float64(-0.16204872591505995), np.float64(815.8693669957287)]
# RMS residual: 0.25717 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.683    811.5311  Ar I   -0.3429
  35.623    810.3693  Ar I   +0.2632
  94.046    800.6157  Ar I   -0.0761
 132.655    794.8176  Ar I   +0.3248
 269.064    772.3761  Ar I   -0.3235
 326.972    763.5106  Ar I   +0.0281
 404.755    751.4652  Ar I   +0.3488
 410.779    750.3869  Ar I   +0.2282
 482.755    738.3980  Ar I   -0.3177
 492.195    737.2118  Ar I   -0.0023
 546.100    728.1349  He I   -0.4978
 595.905    720.6980  Ar I   +0.0075
 634.908    714.7042  Ar I   +0.2456
 684.214    706.5188  He I   -0.0425
 748.070    696.5431  Ar I   +0.2481
 922.784    667.8151  He I   -0.0915
#
# pixel  wavelength_nm  counts
  206   782.7572  8718.0
  207   782.5975  8639.0
  208   782.4378  8488.0
  209   782.2782  8650.0
  210   782.1185  8535.0
  211   781.9588  8657.0
  212   781.7992  8738.0
  213   781.6395  8715.0
  214   781.4799  8653.0
  215   781.3203  8751.0
  216   781.1606  8512.0
  217   781.0010  8586.0
  218   780.8414  8673.0
  219   780.6818  8758.0
  220   780.5222  8724.0
  221   780.3626  8715.0
  222   780.2030  8711.0
  223   780.0435  8703.0
  224   779.8839  8795.0
  225   779.7243  9094.0
  226   779.5648  9356.0
  227   779.4052  9982.0
  228   779.2457  10689.0
  229   779.0861  11413.0
  230   778.9266  11566.0
  231   778.7671  11058.0
  232   778.6076  10240.0
  233   778.4481  9504.0
  234   778.2886  9008.0
  235   778.1291  8827.0
  236   777.9696  8876.0
  237   777.8101  8743.0
  238   777.6506  8649.0
  239   777.4911  8661.0
  240   777.3317  8562.0
  241   777.1722  8833.0
  242   777.0128  9093.0
  243   776.8533  9402.0
  244   776.6939  9800.0
  245   776.5345  9734.0
  246   776.3750  9473.0
  247   776.2156  9172.0
  248   776.0562  8871.0
  249   775.8968  8750.0
  250   775.7374  8706.0
  251   775.5780  8751.0
  252   775.4186  8767.0
  253   775.2592  8712.0
  254   775.0998  8572.0
  255   774.9404  8589.0
  256   774.7811  8485.0
  257   774.6217  8702.0
  258   774.4624  8920.0
  259   774.3030  8880.0
  260   774.1437  8571.0
  261   773.9843  8559.0
  262   773.8250  8636.0
  263   773.6656  8602.0
  264   773.5063  8549.0
  265   773.3470  8696.0
  266   773.1877  8605.0
  267   773.0284  8638.0
  268   772.8691  8644.0
  269   772.7098  8789.0
  270   772.5505  8677.0
  271   772.3912  8677.0
  272   772.2319  8615.0
  273   772.0726  8595.0
  274   771.9134  8704.0
  275   771.7541  8680.0
  276   771.5948  8760.0
  277   771.4356  8754.0
  278   771.2763  8811.0
  279   771.1171  9076.0
  280   770.9578  9366.0
  281   770.7986  9843.0
  282   770.6394  9997.0
  283   770.4801  9966.0
  284   770.3209  9518.0
  285   770.1617  9166.0
  286   770.0025  9003.0
  287   769.8432  8796.0
  288   769.6840  8639.0
  289   769.5248  8658.0
  290   769.3656  8864.0
  291   769.2064  8772.0
  292   769.0473  8604.0
  293   768.8881  8508.0
  294   768.7289  8574.0
  295   768.5697  8573.0
  296   768.4105  8494.0
  297   768.2514  8654.0
  298   768.0922  8692.0
  299   767.9330  8743.0
  300   767.7739  8813.0
  301   767.6147  8783.0
  302   767.4556  8765.0
  303   767.2964  8722.0
  304   767.1373  8581.0
  305   766.9782  8673.0
  306   766.8190  8669.0
  307   766.6599  8796.0
  308   766.5008  8722.0
  309   766.3417  8795.0
  310   766.1825  8722.0
  311   766.0234  8597.0
  312   765.8643  8683.0
  313   765.7052  8663.0
  314   765.5461  8732.0
  315   765.3870  8895.0
  316   765.2279  8751.0
  317   765.0688  8718.0
  318   764.9097  8736.0
  319   764.7506  8810.0
  320   764.5915  8817.0
  321   764.4325  8887.0
  322   764.2734  9202.0
  323   764.1143  9481.0
  324   763.9552  9804.0
  325   763.7962  10504.0
  326   763.6371  11259.0
  327   763.4781  11549.0
  328   763.3190  11225.0
  329   763.1599  10459.0
  330   763.0009  9823.0
  331   762.8418  9311.0
  332   762.6828  9366.0
  333   762.5237  9212.0
  334   762.3647  8905.0
  335   762.2057  8925.0
  336   762.0466  8892.0
  337   761.8876  8919.0
  338   761.7286  8834.0
  339   761.5695  8861.0
  340   761.4105  9020.0
  341   761.2515  9062.0
  342   761.0925  9020.0
  343   760.9334  9066.0
  344   760.7744  9007.0
  345   760.6154  9255.0
  346   760.4564  9724.0
  347   760.2974  10309.0
  348   760.1384  10770.0
  349   759.9794  10991.0
  350   759.8204  10684.0
  351   759.6614  10152.0
  352   759.5024  9543.0
  353   759.3434  9273.0
  354   759.1844  9064.0
  355   759.0254  9103.0
  356   758.8664  8879.0
  357   758.7074  8877.0
  358   758.5484  8772.0
  359   758.3894  8847.0
  360   758.2304  8918.0
  361   758.0715  8747.0
  362   757.9125  8761.0
  363   757.7535  8778.0
  364   757.5945  8914.0
  365   757.4355  8855.0
  366   757.2766  8839.0
  367   757.1176  8744.0
  368   756.9586  8828.0
  369   756.7996  8863.0
  370   756.6407  8924.0
  371   756.4817  8727.0
  372   756.3227  8853.0
  373   756.1638  8812.0
  374   756.0048  8729.0
  375   755.8459  8906.0
  376   755.6869  8814.0
  377   755.5279  8773.0
  378   755.3690  8945.0
  379   755.2100  8865.0
  380   755.0511  8899.0
  381   754.8921  8811.0
  382   754.7331  8778.0
  383   754.5742  8693.0
  384   754.4152  8627.0
  385   754.2563  8840.0
  386   754.0973  9029.0
  387   753.9384  8982.0
  388   753.7794  8746.0
  389   753.6205  8661.0
  390   753.4615  8677.0
  391   753.3026  8868.0
  392   753.1436  8814.0
  393   752.9847  8696.0
  394   752.8257  8793.0
  395   752.6668  8761.0
  396   752.5078  8870.0
  397   752.3489  8769.0
  398   752.1900  8812.0
  399   752.0310  8759.0
  400   751.8721  8686.0
  401   751.7131  8684.0
  402   751.5542  8704.0
  403   751.3952  8758.0
  404   751.2363  8817.0
  405   751.0773  8893.0
  406   750.9184  8629.0
  407   750.7595  8717.0
  408   750.6005  8567.0
  409   750.4416  8746.0
  410   750.2826  8690.0
  411   750.1237  8744.0
  412   749.9647  8565.0
  413   749.8058  8564.0
  414   749.6468  8560.0
  415   749.4879  8603.0
  416   749.3289  8609.0
  417   749.1700  8652.0
  418   749.0111  8565.0
  419   748.8521  8599.0
  420   748.6932  8435.0
  421   748.5342  8429.0
  422   748.3753  8330.0
  423   748.2163  8362.0
  424   748.0574  8319.0
  425   747.8984  8270.0
  426   747.7395  8343.0
  427   747.5805  8288.0
  428   747.4215  8486.0
  429   747.2626  8442.0
  430   747.1036  8390.0
